year,dunsno,companyname,citycode,streetaddress,city,state,zipcode,zipcode4,yearstarted,sls,slscode,employeesthissite,employeesthissitecode,employeesallsites,employeesallsitescode,sic1,sic2,status,subsidiaryindicator,manufacturing,transactioncode,reportdate,description,sls2018,sls2019,sls2020,sls2021,sls2022,lat,lon,bikestreet,plannedbike,bikes
2023,24874025,MORRISON ATTN FOOD NUTRIT,439,509 BILTMORE AVE,ASHEVILLE,NC,28801,4601,2013,135802,2,3,2,3,2,5411,0,0,0,1,3,221204,Grocery stores,135802,135802,135802,135802,135802,35.5766889,-82.54922486,1,1,0
2023,6512143,CAROLINAS PARKING ASSOCIATION,439,520 BILTMORE AVE,ASHEVILLE,NC,28801,4602,2018,53637,2,2,2,2,2,8699,0,0,0,1,3,231210,"Membership organizations, nec",,94459,53637,53637,53637,35.57772,-82.54764,1,1,0
2023,32233253,MISSION HEALTH - ACCESS CTRL,439,520 BILTMORE AVE,ASHEVILLE,NC,28801,4602,2018,87508,2,2,2,2,2,6512,100,0,0,1,2,231015,Nonresidential building operators,87508,87508,87508,87508,87508,35.57772,-82.54764,1,1,0
2023,69282123,HOLMAN JAMES F MD,439,520 BILTMORE AVE,ASHEVILLE,NC,28801,4602,2011,117887,2,3,0,3,0,8011,0,0,0,1,3,221113,Offices and clinics of medical doctors,117887,117887,117887,117887,117887,35.57772,-82.54764,1,1,0
2023,72754980,UNIQUE JENNIQUES BOUTIQUE LLC,439,500 BILTMORE AVE,ASHEVILLE,NC,28801,4602,2021,52246,2,2,2,2,2,5621,101,0,0,1,3,221212,Women's clothing stores,,,,,52246,35.578534,-82.548844,1,1,0
2023,27248363,HEALTH SCIENCE LIBRARY,439,501 BILTMORE AVE,ASHEVILLE,NC,28801,4601,1975,74703,2,5,0,5,0,8231,0,0,0,1,3,180513,Libraries,74703,74703,74703,74703,74703,35.578546,-82.549537,1,1,0
2023,35707919,BUCHANAN SANDRA J,439,445 BILTMORE AVE STE 201,ASHEVILLE,NC,28801,4529,2012,48932,2,2,0,2,0,8049,101,0,0,1,3,180812,Offices of health practitioner,48932,48932,48932,48932,48932,35.5793696,-82.5500799,1,1,0
2023,35834527,POZNER ROBERT S MD,439,445 BILTMORE AVE STE G102,ASHEVILLE,NC,28801,4525,2001,221524,2,3,0,3,0,8011,105,0,0,1,3,231105,Offices and clinics of medical doctors,221524,221524,221524,221524,221524,35.5793696,-82.5500799,1,1,0
2023,110415064,GOUCH & MENDELSOHN,439,445 BILTMORE AVE STE 306,ASHEVILLE,NC,28801,4565,1982,481163,2,18,2,18,2,8011,520,0,0,1,3,210716,Offices and clinics of medical doctors,534625,534625,534625,481163,481163,35.5793696,-82.5500799,1,1,0
2023,118088207,WOUND THRAPY CTR MSSION ST JSE,439,445 BILTMORE AVE STE 404,ASHEVILLE,NC,28801,4565,2002,785907,2,16,2,16,2,8062,0,0,0,1,3,231112,General medical and surgical hospitals,822797,822797,873230,785907,785907,35.5793696,-82.5500799,1,1,0
2023,45513293,ANC HEALTHCARE INC,439,445 BILTMORE AVE STE 404,ASHEVILLE,NC,28801,4565,,0,,1,0,0,,8741,9906,2,0,1,3,231029,Management services,,0,0,0,0,35.5793696,-82.5500799,1,1,0
2023,89069332,LEMAUVIEL LAURIE DO,439,445 BILTMORE AVE STE 407,ASHEVILLE,NC,28801,4565,2017,59545,2,3,2,3,2,8011,9901,0,0,1,3,231029,Offices and clinics of medical doctors,54132,59545,59545,59545,59545,35.5793696,-82.5500799,1,1,0
2023,37712810,COMMUNITY CANCER EDUCATION INC,439,445 BILTMORE AVE STE G102,ASHEVILLE,NC,28801,4525,2019,23477,2,1,2,1,2,8299,200,0,0,1,3,221009,Schools and educational services,,94459,94459,23477,23477,35.5793696,-82.5500799,1,1,0
2023,34740946,CORNERSTONE DIABETES SUPPORT,439,445 BILTMORE AVE STE 203,ASHEVILLE,NC,28801,4565,2018,17495,2,1,2,1,2,8299,0,0,0,1,2,231022,Schools and educational services,17495,17495,17495,17495,17495,35.5793696,-82.5500799,1,1,0
2023,95363835,BLACKBURN ELLEN,439,445 BILTMORE AVE STE 202,ASHEVILLE,NC,28801,4565,2019,94459,2,7,2,7,2,9999,2222,0,0,1,3,230910,Nonclassifiable establishments,,94459,94459,94459,94459,35.5793696,-82.5500799,1,1,0
2023,103995458,GOWIN KRISTIN MD,439,445 BILTMORE AVE STE 306,ASHEVILLE,NC,28801,4565,2017,54132,2,3,2,3,2,8011,0,0,0,1,2,231119,Offices and clinics of medical doctors,54132,54132,54132,54132,54132,35.5793696,-82.5500799,1,1,0
2023,110117600,BARI DEVELOPMENT SOUTH LLC,439,399 BILTMORE AVE,ASHEVILLE,NC,28801,4503,2018,357707,2,3,2,4,2,6552,0,1,0,1,3,230910,"Subdividers and developers, nec",,,135042,357707,357707,35.580757,-82.550897,1,1,0
2023,24955466,BARI SALON LLC,439,399 BILTMORE AVE,ASHEVILLE,NC,28801,4503,2018,28797,2,4,2,4,2,7231,0,0,0,1,3,231210,Beauty shops,28797,28797,28797,28797,28797,35.580757,-82.550897,1,1,0
2023,79570200,CANCER CARE OF WNC PA,439,428 BILTMORE AVE,ASHEVILLE,NC,28801,4502,,0,,3,0,0,,8011,108,2,0,1,3,210711,Offices and clinics of medical doctors,259269,0,0,0,0,35.581238,-82.550124,1,1,0
2023,24034801,ANC ASHEVILLE SPECIALTY LLC,439,428 BILTMORE AVE FL 4,ASHEVILLE,NC,28801,4502,2010,55514,2,1,2,1,2,8069,200,0,3,1,3,231112,"Specialty hospitals, except psychiatric",48461,56393,62640,60642,61682,35.581238,-82.550124,1,1,0
2023,31235200,MAPLES WILLIAM J MD,439,428 BILTMORE AVE,ASHEVILLE,NC,28801,4502,2017,24079,2,1,2,1,2,8049,0,0,0,1,3,231105,Offices of health practitioner,24079,24079,24079,24079,24079,35.581238,-82.550124,1,1,0
2023,67239221,DIGESTIVE HEALTH PARTNERS PA,439,428 BILTMORE AVE,ASHEVILLE,NC,28801,4502,,0,,99,2,0,,8011,103,2,0,1,3,231105,Offices and clinics of medical doctors,,,,0,0,35.581238,-82.550124,1,1,0
2023,89972180,PYBURN STACY L PA,439,428 BILTMORE AVE,ASHEVILLE,NC,28801,4502,2017,22183,2,1,2,1,2,8049,0,0,0,1,2,231105,Offices of health practitioner,22183,22183,22183,22183,22183,35.581238,-82.550124,1,1,0
2023,66877653,MASON MATTHEW S DO,439,428 BILTMORE AVE,ASHEVILLE,NC,28801,4502,2017,54132,2,3,2,3,2,8011,0,0,0,1,3,221113,Offices and clinics of medical doctors,54132,54132,54132,54132,54132,35.581238,-82.550124,1,1,0
2023,15674417,BARNETT DEBORAH PHD,439,417 BILTMORE AVE,ASHEVILLE,NC,28801,4501,2008,53582,2,2,0,2,0,8049,401,0,0,1,3,200719,Offices of health practitioner,53582,53582,53582,53582,53582,35.5812586,-82.5514606,1,1,0
2023,23791782,ASHEVILLE PODIATRY ASSOC,439,417 BILTMORE AVE,ASHEVILLE,NC,28801,4501,2017,81478,2,3,2,3,2,8043,0,0,0,1,3,231119,Offices and clinics of podiatrists,81478,81478,81478,81478,81478,35.5812586,-82.5514606,1,1,0
2023,70724507,BISCUIT HEAD,439,417 BILTMORE AVE,ASHEVILLE,NC,28801,4501,2018,87243,2,7,2,7,2,5812,404,0,0,1,2,231119,Eating places,87243,87243,87243,87243,87243,35.5812586,-82.5514606,1,1,0
2023,77837767,M ELLIOTT VENTURES LLC,439,417 BILTMORE AVE,ASHEVILLE,NC,28801,4501,2015,61514,2,4,2,4,2,8021,0,0,0,1,3,221207,Offices and clinics of dentists,106112,106112,106112,106112,61514,35.5812586,-82.5514606,1,1,0
2023,73974801,OCD AND ANXETY TRTMNT CTR - AS,439,417 BILTMORE AVE,ASHEVILLE,NC,28801,4501,2019,54132,2,3,2,3,2,8011,0,0,0,1,2,231119,Offices and clinics of medical doctors,,,,,54132,35.5812586,-82.5514606,1,1,0
2023,101078551,STEVEN LC AHAN MD PA,439,417 BILTMORE AVE,ASHEVILLE,NC,28801,4501,2019,59545,2,3,2,3,2,8011,513,0,0,1,3,230616,Offices and clinics of medical doctors,,,54132,54132,54132,35.5812586,-82.5514606,1,1,0
2023,24423972,WISE DENTAL LABORATORY INC,439,417 BILTMORE AVE,ASHEVILLE,NC,28801,4501,1949,342302,2,4,0,4,0,8072,0,0,0,1,3,231126,Dental laboratories,345760,345760,345760,345760,380336,35.5812586,-82.5514606,1,1,0
2023,104822864,FOCUS NEUROFEEDBACK,439,417 BILTMORE AVE,ASHEVILLE,NC,28801,4501,2019,76140,2,2,2,2,2,8049,401,0,0,1,3,230305,Offices of health practitioner,,,94459,94459,76140,35.5812586,-82.5514606,1,1,0
2023,4212335,W J TURBYFILL JR DDS PA,439,417 BILTMORE AVE,ASHEVILLE,NC,28801,4501,2009,227157,2,4,2,4,2,8021,202,0,0,1,3,230827,Offices and clinics of dentists,206506,227157,227157,227157,227157,35.5812586,-82.5514606,1,1,0
2023,30061367,PERSONNEL PROPERTIES LLC,439,90 ASHELAND AVE STE A,ASHEVILLE,NC,28801,4023,2019,87508,2,2,2,2,2,6512,0,0,0,1,2,230820,Nonresidential building operators,,87508,87508,87508,87508,35.5826247,-82.5565422,1,0,1
2023,69481475,RHA BEHAVIORAL HEALTH,439,90 ASHELAND AVE STE B,ASHEVILLE,NC,28801,4023,2020,77090,2,5,2,5,2,8093,9902,0,0,1,3,230305,"Specialty outpatient clinics, nec",,,80535,80535,77090,35.5826247,-82.5565422,1,0,1
2023,81001386,RHA HEALTH SERVICES INC,439,356 BILTMORE AVE,ASHEVILLE,NC,28801,4504,,0,,3,2,0,,8093,9902,2,0,1,3,231203,"Specialty outpatient clinics, nec",233667,233667,233667,233667,0,35.58317,-82.550743,1,1,0
2023,116412223,YANCEY RESIDENTIAL SVCS INC,439,356 BILTMORE AVE,ASHEVILLE,NC,28801,4504,2019,94459,2,7,2,7,2,9999,2222,0,0,1,2,191028,Nonclassifiable establishments,,94459,,,94459,35.58317,-82.550743,1,1,0
2023,68257105,NEIL DOBBINS CENTER,439,356 BILTMORE AVE STE 150,ASHEVILLE,NC,28801,4558,2016,88762,2,6,2,6,2,8093,100,0,0,1,3,231112,"Specialty outpatient clinics, nec",88762,88762,88762,88762,88762,35.5831833,-82.5507363,1,1,0
2023,118072948,ASHEVLL-BNCMBE CMNTY CHRSTN MN,439,356 BILTMORE AVE STE 205,ASHEVILLE,NC,28801,4558,,0,,58,2,0,,5912,9901,2,0,1,2,231105,Drug stores and proprietary stores,,,,0,0,35.5831833,-82.5507363,1,1,0
2023,52730062,PARKWAY BEHAVIORAL HEALTH,439,356 BILTMORE AVE STE 200,ASHEVILLE,NC,28801,4558,2012,105666,2,2,0,2,0,8099,201,0,0,1,3,231203,"Health and allied services, nec",117407,105666,105666,105666,105666,35.5831833,-82.5507363,1,1,0
2023,61356339,NAMI WESTERN CAROLINA INC,439,356 BILTMORE AVE STE 207,ASHEVILLE,NC,28801,4558,2011,40997,0,2,0,2,0,8093,9902,0,0,1,3,231029,"Specialty outpatient clinics, nec",172170,23991,23991,40997,40997,35.5831833,-82.5507363,1,1,0
2023,103453555,ULTRA PIPE AND PLUMB LLC,439,242 CLINGMAN AVENUE EXT,ASHEVILLE,NC,28801,3248,2018,90163,2,2,2,2,2,1711,200,0,0,1,2,231022,"Plumbing, heating, air-conditioning",,,90163,90163,90163,35.585035,-82.564535,1,0,1
2023,80700816,ALCOVA MORTGAGE LLC,439,261 ASHELAND AVE STE 100,ASHEVILLE,NC,28801,4055,,0,,4,0,0,,6163,9904,2,0,1,2,210613,Loan brokers,0,0,0,0,0,35.58506,-82.5566681,1,0,1
2023,41624678,GREENSPAN ENTERPRISES INC,439,261 ASHELAND AVE STE 100,ASHEVILLE,NC,28801,4055,1993,37189,2,2,2,2,2,8041,0,0,0,1,3,231210,Offices and clinics of chiropractors,,,94459,37189,37189,35.58506,-82.5566681,1,0,1
2023,101791901,SIMPLI HARVEST LLC,439,261 ASHELAND AVE STE 101,ASHEVILLE,NC,28801,4055,2022,94459,2,7,2,7,2,9999,2222,0,0,1,2,220705,Nonclassifiable establishments,,,,,94459,35.58506,-82.5566681,1,0,1
2023,101346430,JONAS GERARD FINE ART INC,439,240 CLINGMAN AVE,ASHEVILLE,NC,28801,3294,2014,419802,2,12,2,12,2,8412,100,0,0,1,3,230618,Museums and art galleries,93152,93152,425464,419802,419802,35.5851423,-82.56449406,1,0,1
2023,89622390,ASHEVILLE BULLDOG REALTY LLC,439,238 CLINGMAN AVENUE EXT,ASHEVILLE,NC,28801,3248,2017,81320,2,2,2,2,2,6531,100,0,0,1,3,231022,Real estate agents and managers,73927,73927,73927,73927,81320,35.585308,-82.564418,1,0,1
2023,81265989,RIVERSIDE DR LLC,439,238 CLINGMAN AVENUE EXT,ASHEVILLE,NC,28801,3248,2018,86046,2,6,2,6,2,9999,2222,0,0,1,3,190210,Nonclassifiable establishments,86046,86046,,,86046,35.585308,-82.564418,1,0,1
2023,73430599,CLINGMAN GALLERY LLC,439,238 CLINGMAN AVE,ASHEVILLE,NC,28801,3294,2014,41957,2,2,2,2,2,8412,100,0,0,1,3,231207,Museums and art galleries,,,,,94459,35.5853347,-82.56440901,1,0,1
2023,79895585,CLINGMAN AVE LLC,439,238 CLINGMAN AVE,ASHEVILLE,NC,28801,3294,2015,128378,2,2,2,2,2,1799,603,0,0,1,3,231112,"Special trade contractors, nec",106244,106244,128378,128378,128378,35.5853347,-82.56440901,1,0,1
2023,15234989,MISSION HOSPITALS LAB EX,439,261 ASHELAND AVE,ASHEVILLE,NC,28801,4054,2010,199671,2,7,2,7,2,8062,0,0,0,1,3,231203,General medical and surgical hospitals,199671,199671,199671,199671,199671,35.585349,-82.55644,1,0,1
2023,74577063,RIVAL CONSTRUCTION INC,439,272 BILTMORE AVE,ASHEVILLE,NC,28801,4156,,0,,1,2,0,,1522,0,2,0,1,3,231203,"Residential construction, nec",0,0,0,0,0,35.585408,-82.55103,1,1,0
2023,54633793,MAYDAY RENTAL CARS INC,439,272 BILTMORE AVE,ASHEVILLE,NC,28801,4156,2012,284906,2,4,0,4,0,7359,0,0,0,1,3,231022,"Equipment rental and leasing, nec",284906,284906,284906,284906,284906,35.585408,-82.55103,1,1,0
2023,73072942,7 CIRCLES LLC,439,268 BILTMORE AVE,ASHEVILLE,NC,28801,4156,2020,94459,2,7,2,7,2,9999,2222,0,0,1,2,231119,Nonclassifiable establishments,,,,,94459,35.585493,-82.551174,1,1,0
2023,111986023,KAVA TERRA LLC,439,268 BILTMORE AVE,ASHEVILLE,NC,28801,4156,2019,164329,2,7,2,7,2,5813,0,0,0,1,3,231029,Drinking places,,139060,149390,149390,149390,35.585493,-82.551174,1,1,0
2023,79887173,MOEN NICKLAS,439,236 CLINGMAN AVE,ASHEVILLE,NC,28801,3294,2015,141888,2,2,0,2,0,5023,504,0,0,1,3,210620,Homefurnishings,141888,141888,141888,141888,141888,35.585537,-82.56431606,1,0,1
2023,87392934,BOCK RICHARD W MD,439,222 ASHELAND AVE,ASHEVILLE,NC,28801,4016,2015,126770,2,3,2,3,2,8011,101,0,0,1,3,230827,Offices and clinics of medical doctors,126770,126770,126770,126770,126770,35.585657,-82.555741,1,0,1
2023,100860572,JOHN HENRETTA,439,222 ASHELAND AVE,ASHEVILLE,NC,28801,4016,2017,64046,2,3,2,3,2,8011,519,0,0,1,3,231112,Offices and clinics of medical doctors,58224,64046,64046,64046,64046,35.585657,-82.555741,1,0,1
2023,102704133,MINNIE JONES HEALTH CENTER,439,257 BILTMORE AVE STE 100,ASHEVILLE,NC,28801,4131,2019,34741,2,2,2,2,2,8099,0,0,0,1,2,230416,"Health and allied services, nec",,34741,34741,34741,34741,35.5857403,-82.5519239,1,1,0
2023,26856121,KING BRIDGET D MD,439,257 BILTMORE AVE STE 100,ASHEVILLE,NC,28801,4131,2019,54132,2,3,2,3,2,8011,0,0,0,1,2,231029,Offices and clinics of medical doctors,,54132,54132,54132,54132,35.5857403,-82.5519239,1,1,0
2023,75419567,JUNE EVE COLLECTIVE LLC,439,264 BILTMORE AVE,ASHEVILLE,NC,28801,4156,2019,53794,2,1,2,1,2,5719,301,0,0,1,3,231119,Miscellaneous homefurnishings,,94459,52180,52180,52180,35.585909,-82.551309,1,1,0
2023,72356966,MOSTLY IMPORT AUTO REPAIR LLC,439,253 BILTMORE AVE,ASHEVILLE,NC,28801,4158,2022,52373,2,3,2,3,2,7538,0,0,0,1,3,231022,General automotive repair shops,,,,,52373,35.586086,-82.551969,1,1,0
2023,74501644,RSW ASSOCIATES INC,439,216 ASHELAND AVE,ASHEVILLE,NC,28801,4016,2012,4061896,2,30,0,31,0,6411,0,1,3,1,3,211128,"Insurance agents, brokers, and service",4326341,4326341,4326341,4061896,4061896,35.586188,-82.555924,1,0,1
2023,75173159,BURDETTE RICHARD E,439,216 ASHELAND AVE,ASHEVILLE,NC,28801,4016,2014,84030,2,2,2,2,2,6411,0,0,0,1,3,231203,"Insurance agents, brokers, and service",84030,84030,84030,84030,84030,35.586188,-82.555924,1,0,1
2023,113180828,B MORE EATERY LLC,439,251 BILTMORE AVE,ASHEVILLE,NC,28801,4158,2021,87243,2,7,2,7,2,5812,0,0,0,1,2,231112,Eating places,,,,87243,87243,35.58628785,-82.55210915,1,1,0
2023,63109670,ADAM DALTON DISTILLERY LLC,439,251 BILTMORE AVE,ASHEVILLE,NC,28801,4158,2011,246992,2,5,2,5,2,2082,0,0,0,0,3,231105,Malt beverages,224538,224538,224538,224538,246992,35.58628785,-82.55210915,1,1,0
2023,85558337,BLUE RIDGE FOOT CENTER,439,246 BILTMORE AVE,ASHEVILLE,NC,28801,4142,2017,174400,2,3,2,3,2,8043,0,0,0,1,3,231119,Offices and clinics of podiatrists,94459,174400,174400,174400,174400,35.586415,-82.551354,1,1,0
2023,91257345,BLUE RIDGE PODIATRY ASSOC P A,439,246 BILTMORE AVE,ASHEVILLE,NC,28801,4142,1975,491541,2,4,0,4,0,8043,0,0,0,1,3,231015,Offices and clinics of podiatrists,478199,478199,478199,491541,491541,35.586415,-82.551354,1,1,0
2023,39084738,RAFAEL RIVERA JR DDS PLLC,439,247 BILTMORE AVE,ASHEVILLE,NC,28801,4107,2012,1975649,2,13,2,20,0,8021,202,1,0,1,3,231126,Offices and clinics of dentists,1905423,1905423,1905423,1905423,1905423,35.586846,-82.552301,1,1,0
2023,67154007,DECISION TECHNOLOGY INC,439,247 BILTMORE AVE,ASHEVILLE,NC,28801,4107,2019,94459,2,7,2,7,2,9999,2222,0,0,1,2,191025,Nonclassifiable establishments,,94459,94459,94459,94459,35.586846,-82.552301,1,1,0
2023,73940185,JACK SMTHS TRANSM AUTO SVC LLC,439,240 BILTMORE AVE,ASHEVILLE,NC,28801,4142,2014,30384,2,1,2,1,2,7538,0,0,0,1,3,231203,General automotive repair shops,,,,,30384,35.586941,-82.55138,1,1,0
2023,73280930,T & D AUTOMOTIVE GROUP INC,439,240 BILTMORE AVE,ASHEVILLE,NC,28801,4142,1999,800283,2,7,0,7,0,7538,0,0,0,1,3,231105,General automotive repair shops,440000,893769,893769,893769,800283,35.586941,-82.55138,1,1,0
